SampleID,Colony,Treatment,timepoint,died,WingAvgmm,StartWt
HW099,ABS05,control,9,0,3.65,0.3474
HW099,ABS05,control,12,0,3.65,0.3474
HW100,ABS05,PS3d,0,0,3.8,0.4816
HW100,ABS05,PS3d,3,0,3.8,0.4816
HW100,ABS05,PS3d,6,0,3.8,0.4816
HW100,ABS05,PS3d,9,0,3.8,0.4816
HW100,ABS05,PS3d,12,0,3.8,0.4816
HW101,ABS05,PS6d,0,0,4,0.4875
HW101,ABS05,PS6d,3,0,4,0.4875
HW101,ABS05,PS6d,6,0,4,0.4875
HW101,ABS05,PS6d,9,0,4,0.4875
HW101,ABS05,PS6d,12,0,4,0.4875
HW102,ABS05,NS9d,0,0,3.9,0.5038
HW102,ABS05,NS9d,3,0,3.9,0.5038
HW102,ABS05,NS9d,6,0,3.9,0.5038
HW102,ABS05,NS9d,9,0,3.9,0.5038
HW102,ABS05,NS9d,12,0,3.9,0.5038
HW103,ABS05,PS9d,0,0,3.3,0.2941
HW103,ABS05,PS9d,3,0,3.3,0.2941
HW103,ABS05,PS9d,6,0,3.3,0.2941
HW103,ABS05,PS9d,9,0,3.3,0.2941
HW103,ABS05,PS9d,12,0,3.3,0.2941
HW104,ABS05,NS6d,0,0,3.85,0.5143
HW104,ABS05,NS6d,3,0,3.85,0.5143
HW104,ABS05,NS6d,6,1,3.85,0.5143
HW104,ABS05,NS6d,9,1,3.85,0.5143
HW104,ABS05,NS6d,12,1,3.85,0.5143
HW105,ABS05,PS3d,0,0,3.7,0.4328
HW105,ABS05,PS3d,3,0,3.7,0.4328
HW105,ABS05,PS3d,6,0,3.7,0.4328
HW105,ABS05,PS3d,9,0,3.7,0.4328
HW105,ABS05,PS3d,12,0,3.7,0.4328
HW106,ABS05,PS6d,0,0,3.4,0.3188
HW106,ABS05,PS6d,3,0,3.4,0.3188
HW106,ABS05,PS6d,6,0,3.4,0.3188
HW106,ABS05,PS6d,9,0,3.4,0.3188
HW106,ABS05,PS6d,12,0,3.4,0.3188
HW107,ABS05,NS9d,0,0,3.7,0.4351
HW107,ABS05,NS9d,3,0,3.7,0.4351
HW107,ABS05,NS9d,6,0,3.7,0.4351
HW107,ABS05,NS9d,9,1,3.7,0.4351
HW107,ABS05,NS9d,12,1,3.7,0.4351
HW108,ABS05,PS9d,0,0,3.3,0.2754
HW108,ABS05,PS9d,3,0,3.3,0.2754
HW108,ABS05,PS9d,6,0,3.3,0.2754
HW108,ABS05,PS9d,9,0,3.3,0.2754
HW108,ABS05,PS9d,12,0,3.3,0.2754
HW109,ABS05,PS12d,0,0,3.6,0.4251
HW109,ABS05,PS12d,3,0,3.6,0.4251
HW109,ABS05,PS12d,6,0,3.6,0.4251
HW109,ABS05,PS12d,9,0,3.6,0.4251
HW109,ABS05,PS12d,12,0,3.6,0.4251
HW110,ABS05,PS3d,0,0,3.7,0.4101
HW110,ABS05,PS3d,3,0,3.7,0.4101
HW110,ABS05,PS3d,6,0,3.7,0.4101
HW110,ABS05,PS3d,9,0,3.7,0.4101
HW110,ABS05,PS3d,12,0,3.7,0.4101
HW111,ABS05,NS6d,0,0,3.85,0.4201
HW111,ABS05,NS6d,3,0,3.85,0.4201
HW111,ABS05,NS6d,6,1,3.85,0.4201
HW111,ABS05,NS6d,9,1,3.85,0.4201
HW111,ABS05,NS6d,12,1,3.85,0.4201
HW112,ABS05,NS9d,0,0,3.75,0.4182
HW112,ABS05,NS9d,3,0,3.75,0.4182
HW112,ABS05,NS9d,6,1,3.75,0.4182
HW112,ABS05,NS9d,9,1,3.75,0.4182
HW112,ABS05,NS9d,12,1,3.75,0.4182
HW113,ABS05,PS6d,0,0,3.15,0.2746
HW113,ABS05,PS6d,3,0,3.15,0.2746
